,name,enrolled,passed
0,Administrace systému UNIX [12AUX],8,5
1,Analytická chemie 1 [15ANAL1],21,11
2,Analytické měřicí metody [16AMM],4,3
3,Anglický jazyk 2 [818A2],7,5
4,Anglický jazyk začátečníci [818A0],3,0
5,Angličtina M2 [04AM2],55,43
6,Angličtina P2 [04AP2],67,60
7,Angličtina - státní zkouška [04ABZK],2,2
8,Anorganická chemie 2 [15ANCH2],23,10
9,Anorganické praktikum [15ANP],18,14
10,Aperiodické struktury 2 [01APST2],2,2
11,Aplikace ionizujícího záření ve vědě a technice [16APLV],3,3
12,Aplikace jazykového systému [04ABA],12,8
13,Aplikace MATLABu [18AMTL],18,4
14,Aplikace radiačních metod [15APRM],7,6
15,Aplikace radionuklidů 2 [15NUK2],4,3
16,Aplikace statistických metod [01ASM],12,8
17,Aplikovaná kvantová chromodynamika při vysokých energiích [02AQCD],1,0
18,Aplikovaná lomová mechanika [D14ALM],2,0
19,Astrofyzika [12ASF],12,4
20,Asymptotické metody [01ASY],18,14
21,Atomová legislativa [17ALE],2,1
22,Bakalářská práce 2 [818BPSE2],10,6
23,Bezpečnostní sytémy jaderných reaktorů [17BES],14,14
24,Čeština pro cizince mírně pokročilí 2 [04CESM2],28,18
25,Čeština pro cizince pokročilí 2 [04CESP2],1,0
26,Chemie [15CHB],13,11
27,Chemie léčiv [15CHL1],7,7
28,Cvičení na simulátoru [17CSI],8,3
29,Dějiny fyziky 1 [818DEF1],9,9
30,Dějiny fyziky 2 [02DEF2],165,143
31,Dějiny matematiky [01DEM],5,0
32,Dekompozice databazových systémů [18DATS],26,20
33,Detekce ionizujícího záření [15CZVDIZ],3,1
34,Detekce ionizujícího záření [15DIZ],15,12
35,Detektory a principy detekce [02DPD],14,12
36,Detektory ionizujícího záření [16DETE],24,13
37,Deterministické metody v reaktorové fyzice [17DERF],7,5
38,Diagnostika plazmatu [02DPLA],6,6
39,Diferenciální počet na varietách [01DPV],10,7
40,Diferenciální rovnice [01DIFR],31,19
41,Difrakční metody strukturní biologie [11DMSB],1,1
42,Diskretní matematika 2 [01DIM2],59,30
43,Diskrétní matematika 2 [818DIM2],7,5
44,Dozimetrie a radioaktivita životního prostř. [16DRZP],2,1
