,name,enrolled,passed
128,Kultura a reálie anglofonních zemí a ČR 2 [04ABR2],5,4
129,Kultura a reálie anglofonních zemí a ČR zkouška [04ABRK],5,3
130,Kvantová elektronika [12KVEN],18,13
131,Kvantová fyzika [02KF],20,13
132,Kvantová informace a komunikace [02KIK],9,5
133,Kvantová mechanika [02KVAN],58,44
134,Kvantová teorie pole 1 [02KTP1],2,1
135,Kvantová teorie pole 1 [02QFT1],9,4
136,Kvantové grupy 1 [01KVGR1],3,2
137,Kvantový kroužek 1 [02KVK1],1,1
138,Laboratorní cvičení z fyziky 1 [02LCF1],4,0
139,Laboratorní technika [15LABT],26,20
140,Laserová technika 1 [12LT1],8,1
141,Laserové plazma jako zdroj záření a částic [12LPZ],4,4
142,Lékařská informatika pro techniky [16INZB],8,0
143,Lineární algebra 1 [01LAL],222,178
144,Lineární algebra 1 [818LI1],12,6
145,Lineární algebra 1 - zkouška [818LIZ],12,6
146,"Lineární algebra A 1, zkouška [01LALA]",234,100
147,"Lineární algebra B 1, zkouška [01LALB]",236,22
148,Lineární programování [01LIP],6,4
149,Lineární programování B [01LIPB],9,8
150,Magisterská němčina pro začátečníky 1 [04NZM1],1,0
151,Magnetické materiály [11MAM],2,1
152,Makroekonomie 1 [18MAK1],16,12
153,Makroekonomie 1 [818MAKE1],2,1
154,"Management, komunikace a inovace [01MKI]",18,0
155,Matematická analýza 1 [01MAN],221,175
156,Matematická analýza 1 [818MA1],12,6
157,"Matematická analýza 1, zkouška [818MA1Z]",12,4
158,"Matematická analýza A 1, zkouška [01MANA]",238,132
159,Matematická analýza A3 [01MAA3],38,29
160,"Matematická analýza B 1, zkouška [01MANB]",232,0
161,Matematická analýza B3 [01MAB3],95,40
162,Matematická analýza B 3 [818MAB3],6,2
163,Matematická ekonomie 1 [18EKO1],30,10
164,Matematická ekonomie 1 [818ME1],14,6
165,Matematická logika [01MAL],9,4
166,Matematické metody a modelování [16MMM],6,6
167,Matematické metody v dynamice tekutin 1 [01MMDT1],3,0
168,Matematické minimum 1 [00MAM1],183,151
169,Matematické minimum 2 [00MAM2],67,33
170,Matematické modelování nelineárních systémů [01MMNS],15,5
171,Matematické problémy nematematiků [01MPN],44,37
172,Matematické techniky v biologii a medicíně [01MBI],10,2
173,Matematika 1 [01MAT1],74,41
174,Matematika 3 [01MAT3],41,27
175,Matematika částicových systémů [01MCS],6,3
176,"Matematika, zkouška 1 [01MATZ1]",84,19
177,Materiály pro experimentální jadernou fyziku [02MAT],5,5
178,Mechanika [02MECH],240,146
179,Mechanika - zkouška [02MECHZ],280,63
180,Měření a zpracování dat [15MZD],19,11
181,Metoda Monte Carlo [18MMC],36,20
182,Metody měření a vyhodnocení ioniz. záření [16MER],3,2
183,Metody Monte Carlo v pokročilé reaktorové fyzice [17XMMC],2,1
184,Metody počítačové fyziky 1 [12MPF1],2,0
185,Metody pro řídké matice [01MRM],2,0
186,Metrologie ionizujícího záření [16MEIZ],4,4
187,Mikrodozimetrie [16MDOZ],5,5
188,Mikroekonomie 1 [18MIK1],33,13
189,Mikroekonomie 1 [818MIK1],13,6
190,Mikroprocesorové praktikum 1 [12MPP1],4,2
191,Mikroprocesory 1 [12MPR1],5,0
192,Míra a pravděpodobnost [01MIP],11,6
193,Modelování a řízení spojitých systémů [18MRSS],6,5
194,Modelování a simulace migrace radionuklidů v životním prostředí [15MSZP],5,4
195,Modelování produkčních systémů v ekonomice [18MOPR],8,7
196,Modely a metody ekonomického rozhodování [18MEK],7,2
197,Moderní experimentální metody [11MEM1],7,5
198,Nanochemie [12NCH],4,4
199,Nanoelektronika [12NAE],1,0
200,Nanofyzika [12NF],3,0
201,Nanoskopie a nanocharakterizace [12NAN],6,0
202,Nanotechnologie [12NT],11,9
203,Nástroje pro simulace a analýzu dat [02NSAD],3,0
204,Nauka o materiálu [14NMA],34,30
205,Návrh a řízení experimentu [17NRE],5,4
206,Návrh experimentů [01NEX],14,2
207,Návrh logických polí [17XNLP],2,1
208,Nedestruktivní diagnostika [14NEDI],5,1
209,Nekovové materiály [14NEKO],3,3
210,Nelineární programování [01NELI],5,3
211,Němčina M1 [04NM1],40,33
212,Němčina M3 [04NM3],28,24
213,Němčina M zkouška [04NMZK],30,22
214,Němčina P1 [04NP1],11,8
215,Němčina P3 [04NP3],8,6
216,Němčina P zkouška [04NPZK],8,6
217,Německý jazyk 1 [818N1],2,1
218,Německý jazyk 3 [818N3],9,7
219,Německý jazyk mírně pokročilí - zkouška [818NMZK],5,5
220,Německý jazyk pokročilí - zkouška [818NPZK],3,2
221,Neuronové sítě 1 [818NES1],3,1
222,Nízkoteplotní plazma a výboje [12NIPL],2,0
223,Nové jaderné zdroje [17NJZ],3,3
224,Numerická matematika 1 [01NMA1],41,26
225,Numerické metody 1 [818NME1],10,1
226,Numerický software [01NUSO],4,3
227,Obecná anatomie a fyziologie člověka 1 [16OAF1],3,2
228,Obecná chemie [15OCH],27,19
229,Obecná chemie 1 [15CH1],153,133
230,Objektově orientované programování [18OOP],10,5
231,Ochrana životního prostředí [15ZOCH],1,1
232,Operační systémy [12OSY],2,1
233,Operátorský kurz na reaktoru VR-1 [17OPK],8,4
234,Optické vlastnosti pevných látek [11OPT],7,7
235,Optické vlastnosti polovodičů [12OVP],1,0
236,Optické zpracování signálů [12OZS],2,1
237,Organická chemie 2 [15ORC2],18,11
238,Ortogonální polynomy [02TOP],4,3
239,Otevřené rezonátory [12ORE],9,8
240,"Patologie, anatomie a fyziologie v zobrazovacích metodách 2 [16PAFZ2]",7,2
241,Pinče [02PINC],2,2
242,Plasticita 2 [14PLAS2],3,3
243,Počítačová algebra [12POAL],4,0
244,Počítačová grafika 1 [01POGR1],15,5
245,Počítačové řízení experimentů [17PRE],3,2
246,Počítačové simulace kondenzovaných látek [11SIKL],8,8
247,Počítačové simulace ve fyzice mnoha částic 1 [12SFMC1],1,0
248,Počítačové sítě 1 [01SITE1],11,8
