,name,enrolled,passed
125,Klinická dozimetrie pro techniky [16KLDB],1,0
126,Koncepce informatické fyziky 2 [12KOF2],3,3
127,"Konferenční týden výzkumu, exkurze [01KTVE]",15,15
128,Konstrukce polovodičových součástek [11KPS],1,0
129,Kosmické záření [02KZ],6,2
130,Kovové oxidy [11KO],1,0
131,Kultura a reálie anglofonních zemí a ČR 1 [04ABR1],21,11
132,Kvantová elektronika [12KVEN],2,2
133,Kvantová fyzika [01KF],11,8
134,Kvantová mechanika 2 [02KVAN2],5,4
135,Kvantová mechanika 2 [02KVA2B],17,14
136,Kvantová optika [12KVO],9,4
137,Kvantová teorie pole 2 [02KTPE2],11,11
138,Kvantová teorie pole 2 [02KTP2],6,0
139,Kvantové počítání [11KVAP],2,2
140,Kvantový kroužek 2 [02KVK2],4,2
141,Laboratorní cvičení z fyziky 2 [02LCF2],2,1
142,Laserová technika 2 [12LT2],5,2
143,"Laserové, plazmové a svazkové technologie [12LPST]",5,5
144,Laserové systémy [12LAS],3,2
145,Letní škola fyziky plazmatu a termojaderné fúze [02ZLSTF2],3,3
146,Lieovy algebry a grupy [02LIAG],8,6
147,Linear Algebra with Applications [01LAWA],16,8
148,Lineární algebra A2 [01LAA2],43,32
149,Lineární algebra B 2 [818LAB2],14,13
150,Lineární algebra B2 [01LAB2],156,72
151,Lomová mechanika 2 [14LME2],9,9
152,Magisterská angličtina 2 [04MGA2],15,10
153,Makroekonomie 2 [18MAK2],18,7
154,Makroekonomie 2 [818MAKE2],8,8
155,Markovské procesy [01MAPR],10,9
156,Matematická analýza A2 [01MAA2],44,27
157,Matematická analýza A4 [01MAA4],35,33
158,Matematická analýza B 2 [818MAB2],17,9
159,Matematická analýza B2 [01MAB2],181,76
160,Matematická analýza B 4 [818MAB4],11,7
161,Matematická analýza B4 [01MAB4],99,63
162,Matematická ekonomie 2 [18EKO2],23,15
163,Matematická ekonomie 2 [818ME2],15,12
164,Matematické metody v dynamice tekutin 2 [01MMDT2],5,3
165,Matematické modely dopravních systémů [01MMDS],10,10
166,Matematické modely proudění podzemních vod [01MMPV],3,3
167,"Matematika, zkouška 2 [01MATZ2]",75,23
168,Matematika 2 [01MAT2],66,24
169,Matematika 4 [01MAT4],68,36
170,Měřící metody elektroniky a optiky [12MMEO],15,15
171,Metoda konečných prvků [01MKP],4,3
172,Metoda Monte Carlo v radiační fyzice [16MCRF],12,7
173,Metody matematické fyziky [01MMF],28,26
174,Metody počítačové fyziky 2 [12MPF2],6,6
175,Metody pro řídké matice [01MRM],7,5
176,Mikroekonomie 2 [18MIK2],24,13
177,Mikroekonomie 2 [818MIK2],14,13
178,Mikroprocesory 2 [12MPR2],8,3
179,Modelování extrémních událostí [01MEX],15,11
180,Modelování migračních procesů v životním prostředí [15MMPR],2,0
181,Modelování v UML [18MUML],17,10
182,Molekulová fyzika [12MOF],5,1
183,Nauka o materiálech pro reaktory [14NMR],23,15
184,Nelineární optika [12NLOP],18,18
185,Němčina M2 [04NM2],45,36
186,Němčina P2 [04NP2],14,14
187,Němčina 2 [818NEM2],3,3
188,Německý jazyk začátečníci [818N0],9,0
189,Nerovnovážné systémy [02NSY],8,7
190,Neuronové sítě 2 [818NES2],8,4
191,Neutronová fyzika [02NF],13,11
192,Nové jaderné zdroje [17NJZ],5,5
193,Nukleární medicína-klinická praxe [16NMKP],8,5
194,Numerická matematika 2 [01NUM2],19,17
195,Numerické metody [12NMEA],9,9
196,Numerické metody [12NME1],134,81
197,Numerické metody 2 [01NME2],61,51
198,Obecná anatomie a fyziologie člověka 2 [16OAF2],5,0
199,Obecná chemie 2 [15CH2],91,50
200,Obecná teorie relativity [02OR],7,4
201,Optická spektroskopie anorganických pevných látek [11OSAL],2,0
202,Optické senzory [12OSE],17,16
203,Optické spektroskopie [12OPS],16,10
204,Optoelektronika [12OPEL],16,14
205,Organická chemie 1 [15OCHN1],14,5
206,Otevřené kvantové systémy [02OKS],7,4
207,Otevřené rezonátory [12ORE],1,0
208,Paralelní algoritmy a architektury [01PAA],25,3
209,"Patologie,anatomie a fyziologie v zobrazovacích metodách 1 [16PAFZ1]",9,6
210,"Pevnolátkové, diodové a barvivové lasery [12PDBL]",7,7
211,Plasticita 1 [14PLAS1],10,10
212,Plynové a rentgenové lasery [12RTGL],6,5
213,Počítače a přirozený jazyk 2 [01POPJ2],3,0
214,Počítačová grafika 2 [01POGR2],30,21
215,Počítačová mechanika [14PME],4,3
216,Počítačové modelování plazmatu [02PMPL],8,0
217,Počítačové řízení experimentů [12POEX],8,4
218,Počítačové simulace kondenzovaných látek [11SIKL],4,4
219,Počítačové simulace ve fyzice mnoha částic 2 [12PEMC2],1,0
220,Počítačové sítě 2 [01SITE2],23,23
221,Pokročilá experimentální reaktorová fyzika na školním reaktoru VR-1 [17CZVEXRF3],0,0
222,Pokročilá pravděpodobnost [01POPR],11,10
223,Pokročilé algoritmy 2 [18UIA2],7,6
224,Pokročilejší partie kvantové teorie [02PPKT],6,1
225,Pokročilé metody přepracování vyhořelého paliva a technologie solných reaktorů [17PPSR],1,0
226,Pokročilé numerické metody [01PNM],18,14
227,Pokročilé programovací techniky [18PPT],18,8
228,Pokročilé programovací techniky [818PPT],6,4
229,Polovodičové detektory [11DETE],1,0
230,Povrchy a rozhrani [11POR],10,6
231,Práce na výzkumném úkolu 2 [14VUSM2],8,8
232,Práce s odborným textem 2 [04ABO2],13,9
233,Praktická informatika pro inženýry 1 [12PIN1],80,51
234,Praktická informatika pro inženýry 1 [818PIN1],7,7
235,Praktická informatika pro inženýry 3 [12PIN3],51,26
236,Praktika fyziky plazmatu 2 [02PRPL2],8,3
237,Praktikum z detekce ionizujícího záření [15CZVDEIZ],1,0
238,Praktikum z detekce ionizujícího záření [15DEIZ],10,10
239,Praktikum z dozimetrie ionizujícího záření [16PDIZ],1,1
240,Praktikum z elektroniky 2 [12EP2],8,8
241,Praktikum z instrumentálních metod [15PINS],9,9
242,Praktikum z laserové medicíny [12PLM],8,7
243,Praktikum z radiační chemie [15PRACH],11,10
244,Praktikum z radiačních metod v biologii a medicíně [15PRMB],4,3
245,Praktikum z radiochemické techniky [15CZVRATEC],1,0
246,Pravděpodobnost a matematická statistika 2 [01PRA2],17,14
247,Pravděpodobnost a statistika [818PST],7,6
248,Praxe [02PRX],9,3
249,Praxe [15PRAKN],7,6
250,Praxe (exkurze) v zahraničí [17PEX],14,13
251,Problémový seminář [12PSEM],46,18
252,Programování pro mainframe [01PMF],11,8
253,Programování pro mobilní telefony na platformě J2ME [818PMT],3,2
254,Programování úloh v realném čase [11RTSW],1,1
255,Programování v C++ 2 [18PRC2],108,49
256,Programování v C++ 2 [818PRC2],10,8
257,Programování v Javě 2 [818JAV2],3,2
258,Programování v Pascalu [18PAS],21,11
259,Programovatelná logická pole [17PLP],1,0
260,Projektové praktikum 2 [02PPRA2],8,8
261,Projektové řízení [818PR],1,1
262,Projektové řízení ekonomických systémů [18REK],12,9
263,Provozní reaktorová fyzika [17PRF],17,8
264,Provozní stavy jaderných reaktorů [17PSJR],22,17
265,Předdiplomní seminář [01DSEMI],27,21
266,Předdiplomní seminář [17DSEM],9,9
267,Přenosy dat a rozhraní [12PDR2],2,0
268,Přibližné výpočty v kvantové mechanice 2 [02NVKM2],6,6
269,Příprava polovodičových nanostruktur [12PN],6,6
270,Přípravný kurz z matematiky 2 [818PKM2],13,13
271,Publikační systém LaTeX [01PSL],70,47
272,Radiační chemie [15RACH],6,5
273,Radiační metody v biologii a medicíně [15RMBM],11,4
274,Radiační ochrana jaderných zařízení [17ROJ],4,4
275,Radioaktivní odpady [17RAO],9,6
276,Radioanalytické metody [15RAM],8,5
277,Radiobiologie [16RBIO],6,4
278,Radiochemie stop [15STP],7,6
279,Radiologická fyzika-radioterapie 1 [16RFRT1],7,4
280,Radiologická technika-radioterapie [16RTRT],8,2
281,Radionuklidy v životním prostředí [16RZP],4,4
282,Radioterapie-klinická praxe [16RTKP],15,9
283,Radioterapie-klinická praxe 1 [16RTKP1],5,2
284,Regresní analýza dat [01REGA],1,1
285,Relativistická fyzika 2 [02REL2],6,2
286,Rétorika [00RET],24,20
287,Robustní numerické algoritmy [12RNA],4,3
288,Ročníková práce 2 [12ROPR2],6,0
289,Rozhovory o kvark-gluonovém plazmatu 2 [02RQGP2],7,5
290,Rozhovory o kvark-gluonovém plazmatu 4 [02RQGP4],5,5
291,Rozhovory o kvark-gluonovém plazmatu 6 [02RQGP6],3,3
292,Rozvíjení řečových dovedností 2 [04ABK2],22,15
293,Ruština M2 [04RM2],13,12
294,Ruština P2 [04RP2],1,0
295,Ruština Z1 [04RZ1],35,16
296,Ruština Z3 [04RZ3],26,21
297,Ruština Z5 [04RZ5],21,15
298,Řešení fyzikálních problémů [18RFP],8,5
299,Semestrální práce [16SEPB],8,5
300,Seminář [14SEM],5,5
301,Seminář [16SEM],10,6
302,Seminář [16SEMA],1,1
303,Seminář [17SEMI],1,1
304,Seminář FTTF2 [02STF2],5,4
305,Seminář k bakalářské práci [01BSEM],36,35
306,Seminář k bakalářské práci [12SBP],17,15
307,Seminář k bakalářské práci [18SBAK],10,9
308,Seminář k bakalářské práci [818SBAK],12,9
309,Seminář k diplomové práci 2 [12DSEIF2],1,1
310,Seminář k diplomové práci 2 [12DSELT2],7,7
311,Seminář k diplomové práci 2 [12DSEOF2],12,12
312,Seminář k diplomové práci 2 [18SDI2],13,12
313,Seminář současné matematiky 2 [01SSM2],24,19
314,Seminář teorie pevných látek [11STPL],3,3
315,Seminář z dozimetrie 2 [16SED2],5,2
316,Seminář z matematické analýzy B2 [01SMB2],54,41
317,Seminář 2 [02SEMI2],5,5
318,Seminář 2 [11SMI2],2,2
319,Seminář 2 [15SEM2],4,4
320,Seminář 2 [16SEM2],9,8
321,Seminář 4 [11SMI4],3,3
322,Separační metody v jaderné chemii 2 [15SMJ2],3,2
323,Simulace provozních stavů JE [17SIPS],5,4
324,Softwarový projekt 2 [01SWP2],10,6
325,Softwarový seminář 2 [01SOS2],56,45
326,Specializované praktikum 2 [02SPRA2],7,6
327,Speciální funkce a trasformace ve zpracování obrazu [01SFTO],18,11
328,Spolehlivost systémů a klinické experimenty [01SKE],11,10
329,Správa mainframe [01SMF],14,8
330,Správa operačních systémů [18OS],25,19
331,Stanovení radionuklidů v životním prostředí [15SRZP],2,1
332,Statistická teorie rozhodování [01STR],4,3
333,Statistické metody a jejich aplikace [01SM],16,11
334,Struktura pevných látek 2 [11SPL2],5,3
335,Subatomová fyzika 2 [02SF2],16,12
336,Systematizace jazykových prostředků 2 [04ABS2],21,12
337,Systémy CAD v elektronice [12CAD],1,0
338,Španělština M2 [04SM2],9,4
339,Španělština P2 [04SP2],1,1
340,Španělština Z1 [04SZ1],27,11
341,Španělština Z3 [04SZ3],13,8
342,Španělština Z5 [04SZ5],13,10
343,Technické a zdravotnické právní předpisy [16TZP],15,11
344,Technika a aplikace iontových svazků [12TAIS],3,0
345,Technika termojaderných zařízení [02TTJZ],6,6
346,Technologie jaderných materiálů [15TJM],3,3
347,Technologie vysokofrekvenčních optoel. souč. [11TVOS],4,0
348,Tělesná výchova 2 [818TV2],6,4
349,Tělesná výchova 4 [818TV4],6,4
350,Teoretická fyzika 2 [02TEF2],121,77
351,Teorie čísel [01TC],16,12
352,Teorie dynamických systémů [01DYSY],1,0
353,Teorie elektromagnetického pole a vlnění [15POLE],25,20
354,Teorie informace [01TIN],1,1
355,Teorie kódování [01TKO],10,8
356,Teorie kódování B [01TKOB],14,10
357,Teorie kódování B [818KOD],1,1
358,Teorie matic [01TEMA],18,17
359,Teorie náhodných procesů [01NAH],1,1
360,Teorie pevných látek 2 [11TPL2],2,2
361,Teorie plazmatu 2 [02TPLA2],14,9
362,Termika a molekulová fyzika [02TER],175,86
363,Termodynamika a statistická fyzika [02TSFA],139,97
364,Termohydraulický návrh jaderných zařízení 2 [17THNJ2],35,10
365,Termohydraulický návrh jaderných zařízení 2 [17THN2],7,3
366,Termomechanika jaderného paliva [17TMP],5,4
367,Transport ionizujícího záření a matoda Monte Carlo [16MCRB],2,0
368,Transportní jevy/Nerovnovážné systémy [02TJNS],5,5
369,Tvorba internetových aplikací [18INTA],25,13
370,Tvorba internetových aplikací 2 [818INT2],8,6
371,Týmový vývoj softwaru 2 [818TVS2],5,1
372,Únava materiálů [14UNMA],10,10
373,Úvod do dynamiky kontinua [01DYK],22,19
374,Úvod do energetiky [17UEN],10,7
375,Úvod do fyziky pevných látek [11UFPL],4,0
376,Úvod do fyziky pevných látek [11UFPLN],45,26
377,Úvod do křivek a ploch [02UKP],37,12
378,Úvod do moderní fyziky [12UMF],22,7
379,Úvod do odborného jazyka 2 [04ABU2],23,16
380,Úvod do palivového cyklu [17UPC],12,9
381,Úvod do práva [00UPRA],63,49
382,Úvod do práva 2 [818UPRA2],5,4
383,Úvod do psychologie [00UPSY],69,49
384,Úvod do radiační fyziky 2 [16URF2],20,6
385,Úvod do radiační ochrany jaderných zařízení [17URO],23,21
386,Úvod do strun 2 [02UST2],10,8
387,Úvod do teoretické informatiky [01UTI],16,14
388,Úvod do termojaderné fúze [02UFU],8,5
389,Užitá jaderná fyzika [02UJF],3,3
390,Vědeckotechnické výpočty [12VTV],8,3
391,Vybrané kapitoly z nanostruktur [12VKNS],5,5
392,Vybrané partie z funkcionální analýzy [01VPFA],16,10
393,Vybrané partie z fyziky MCF [02PMCF],6,6
394,Vybrané partie z ICF [12PICF],1,1
395,Vybrané partie z legislativy [17VPL],13,9
396,Vybrané partie z matematiky [01VYMA],81,57
397,Vybrané přednášky z energetiky [17VYPE],5,5
398,Vyhořelé jaderné palivo a radioaktivní odpady [17VPO],9,9
399,Vysokofrekvenční a impulsní technika [12VFT],1,0
400,Využívání výzkumných reaktoru pro výzkum a průmysl [17VYRR],17,6
401,Výzkumný úkol 1 [01VUAM1],2,2
402,Výzkumný úkol 1 [02VUTF1],2,2
403,Výzkumný úkol 1 [11VUIP1],1,1
404,Výzkumný úkol 1 [12VULT1],2,2
