,name,enrolled,passed
126,Koncepce informatické fyziky 2 [12KOF2],6,5
127,"Konferenční týden výzkumu, exkurze [01KTVE]",9,8
128,Kosmické záření [02KZ],9,7
129,Kovové oxidy [11KO],3,3
130,Kultura a reálie anglofonních zemí a ČR 1 [04ABR1],8,7
131,Kvantová fyzika [01KF],13,12
132,Kvantová mechanika 2 [02KVAN2],9,7
133,Kvantová mechanika 2 [02KVA2B],18,16
134,Kvantová optika [12KVO],4,3
135,Kvantová teorie pole 2 [02KTPE2],10,9
136,Kvantová teorie pole 2 [02KTP2],6,1
137,Kvantový kroužek 2 [02KVK2],1,0
138,Laboratorní cvičení z fyziky 2 [02LCF2],3,0
139,Laserová technika 2 [12LT2],8,3
140,"Laserové, plazmové a svazkové technologie [12LPST]",7,5
141,Laserové systémy [12LAS],2,1
142,Letní škola fyziky plazmatu a termojaderné fúze [02ZLSTF2],5,1
143,Lieovy algebry a grupy [02LIAG],3,3
144,Linear Algebra with Applications [01LAWA],14,0
145,Lineární algebra A2 [01LAA2],41,29
146,Lineární algebra B2 [01LAB2],127,58
147,Lineární algebra 2 [818LI2],9,6
148,Lomová mechanika 2 [14LME2],3,3
149,Magisterská angličtina 2 [04MGA2],14,11
150,Makroekonomie 2 [18MAK2],18,9
151,Makroekonomie 2 [818MAKE2],10,10
152,Markovské procesy [01MAPR],19,12
153,Matematická analýza A2 [01MAA2],38,25
154,Matematická analýza A4 [01MAA4],30,20
155,Matematická analýza B 2 [818MAB2],14,5
156,Matematická analýza B2 [01MAB2],150,59
157,Matematická analýza B 4 [818MAB4],12,6
158,Matematická analýza B4 [01MAB4],94,65
159,Matematická ekonomie 2 [18EKO2],13,8
160,Matematická ekonomie 2 [818ME2],10,6
161,Matematické metody v dynamice tekutin 2 [01MMDT2],5,3
162,Matematické modely dopravních systémů [01MMDS],8,7
163,Matematické modely proudění podzemních vod [01MMPV],7,6
164,"Matematika, zkouška 2 [01MATZ2]",69,23
165,Matematika 2 [01MAT2],60,37
166,Matematika 4 [01MAT4],44,27
167,Měřící metody elektroniky a optiky [12MMEO],12,10
168,Metoda konečných prvků [01MKP],12,10
169,Metoda Monte Carlo v radiační fyzice [16MCRF],25,10
170,Metody matematické fyziky [01MMF],26,21
171,Metody počítačové fyziky 2 [12MPF2],3,2
172,Mikroekonomie 2 [18MIK2],15,8
173,Mikroekonomie 2 [818MIK2],10,9
174,Mikroprocesorová technika [11MIK],2,1
175,Mikroprocesory 2 [12MPR2],4,1
176,Modelování extrémních událostí [01MEX],16,12
177,Modelování v UML [18MUML],14,11
178,Molekulová fyzika [12MOF],5,0
179,Nanomateriály - příprava a vlastnosti [11NAMA],1,1
180,Nauka o materiálech pro reaktory [14NMR],8,5
181,Nelineární optika [12NLOP],10,10
182,Němčina M2 [04NM2],49,40
183,Němčina P2 [04NP2],1,0
184,Německý jazyk začátečníci [818N0],3,0
185,Německý jazyk 2 [818N2],10,8
186,Nerovnovážné systémy [02NSY],5,5
187,Neuronové sítě 2 [818NES2],7,6
188,Neutronografie v materiálovém výzkumu [11NMV],1,1
189,Neutronová fyzika [02NF],9,6
190,Nové jaderné zdroje [17NJZ],2,1
191,Nukleární medicína-klinická praxe [16NMKP],8,8
192,Nukleární medicína - klinická praxe pro techniky [16NMKB],6,3
193,Numerická matematika 2 [01NUM2],20,18
194,Numerické metody [12NMEA],18,17
