,name,enrolled,passed
125,Jaderná astrofyzika [02JAS],13,10
126,Jaderná bezpečnost [17JBEZ],14,13
127,Jaderná chemie 2 [15JACH2],22,14
128,Jaderně energetická zařízení a urychlovače [16ZJTB],8,4
129,Klinická propedeutika [16KPR],26,15
130,Kohomologické metody v teoretické fyzice [02KOHOM],5,4
131,Kombinatorika a pravděpodobnost [01KAP],12,5
132,Koncepce informatické fyziky 1 [12KOF1],7,6
133,Kritický experiment [17KE],12,0
134,Krystalooptika [D12KO],3,0
135,Kultura a reálie anglofonních zemí a ČR 2 [04ABR2],11,10
136,Kvantová elektronika [12KVEN],16,10
137,Kvantová fyzika [02KF],24,9
138,Kvantová informace a komunikace [02KIK],8,8
139,Kvantová mechanika [02KVAN],56,39
140,Kvantová teorie pole 1 [02KTPE1],10,9
141,Kvantová teorie pole 1 [02KTP1],4,4
142,Kvantové grupy 1 [01KVGR1],1,1
143,Kvantový kroužek 1 [02KVK1],2,1
144,Laboratorní cvičení z fyziky 1 [02LCF1],5,0
145,Laboratorní praxe pro energetiky [17LAPE],9,0
146,Laboratorní technika [15LABT],28,14
147,Laboratoř z mikrobiologie [15LMB],5,3
148,Laserová technika 1 [12LT1],12,2
149,Laserové plazma jako zdroj záření a částic [12LPZ],2,2
150,Lékařská informatika pro techniky [16INZB],7,3
151,"Lineární algebra A 1, zkouška [01LALA]",235,36
152,"Lineární algebra B 1, zkouška [01LALB]",281,66
153,Lineární algebra 1 [01LAL],271,208
154,Lineární algebra 1 [818LI1],22,9
155,Lineární programování [01LIP],19,18
156,Lineární programování [818LPB],12,5
157,Lineární programování B [01LIPB],13,8
158,Logika pro matematiky [01LOM],1,0
159,Lomová mechanika 1 [14LME1],4,1
160,Magisterská angličtina 1 [04MGA1],10,0
161,Magnetické materiály [11MAM],1,1
162,Makroekonomie 1 [18MAK1],20,9
163,Makroekonomie 1 [818MAKE1],12,10
164,"Matematická analýza A 1, zkouška [01MANA]",244,34
165,Matematická analýza A3 [01MAA3],29,17
166,"Matematická analýza B 1, zkouška [01MANB]",296,56
167,Matematická analýza B 3 [818MAB3],10,2
168,Matematická analýza B3 [01MAB3],91,44
169,Matematická analýza 1 [01MAN],274,194
170,Matematická analýza 1 [818MA1],27,13
171,Matematická ekonomie 1 [18EKO1],45,11
172,Matematická ekonomie 1 [818ME1],22,10
173,Matematické metody a modelování [16MMM],2,1
174,Matematické metody v dynamice tekutin 1 [01MMDT1],6,5
175,Matematické minimum 1 [00MAM1],214,188
176,Matematické minimum 2 [00MAM2],128,44
177,Matematické modelování nelineárních systémů [01MMNS],15,5
178,Matematické techniky v biologii a medicíně [01MBI],9,4
179,"Matematika, zkouška 1 [01MATZ1]",129,18
180,Matematika 1 [01MAT1],120,48
181,Matematika 3 [01MAT3],36,25
182,Materiály pro experimentální jadernou fyziku [02MAT],12,3
183,Mechanika [02MECH],302,183
184,Mechanika - zkouška [02MECHZ],326,76
185,Měření a zpracování dat [15MZD],10,7
186,Metoda konečných objemů [01MKO],2,0
187,Metoda Monte Carlo [18MMC],52,43
188,Metoda Monte Carlo v dozimetrii [D16MMCD],5,1
189,Metody měření a vyhodnocení ioniz. záření [16MER],9,6
190,Metody počítačové fyziky 1 [12MPF1],4,2
191,Metody pro řídké matice [01MRM],10,8
192,Metrologie ionizujícího záření [16MEIZ],5,5
193,Mikrodozimetrie [16MDOZ],5,2
194,Mikroekonomie 1 [18MIK1],49,11
195,Mikroekonomie 1 [818MIK1],22,10
196,Mikroprocesory 1 [12MPR1],4,0
197,Modelování a řízení spojitých systémů [18MRSS],6,2
198,Modelování a simulace migrace radionuklidů v životním prostředí [15MSZP],2,2
199,Modelování produkčních systémů v ekonomice [18MOPR],14,11
200,Modely a metody ekonomického rozhodování [18MEK],14,11
201,Moderní experimentální metody [11MEM],1,1
202,Moderní měřicí metody [11MMM],1,1
203,Nanoelektronika [12NAE],4,3
204,Nanofyzika [12NF],13,13
205,Nanochemie [12NCH],4,1
206,Nanoskopie a nanocharakterizace [12NAN],7,6
207,Nanotechnologie [12NT],11,11
208,Nástroje pro simulace a analýzu dat [02NSAD],12,1
209,Nauka o materiálu [14NMA],27,26
210,Návrh a řízení experimentu [17NRE],16,6
211,Návrh experimentů [01NEX],15,0
212,Nedestruktivní diagnostika [14NEDI],10,10
213,Nekovové materiály [14NEKO],12,12
214,Nelineární programování [01NELI],6,4
215,Němčina M1 [04NM1],55,42
216,Němčina M3 [04NM3],40,32
217,Němčina P1 [04NP1],2,1
218,Němčina P3 [04NP3],10,10
219,Německý jazyk 1 [818N1],12,7
220,Německý jazyk 3 [818N3],3,3
221,Neuronové sítě a jejich aplikace [01NSAP],27,6
222,Neuronové sítě 1 [818NES1],9,6
223,Nízkoteplotní plazma a výboje [12NIPL],2,0
224,Nové jaderné zdroje [17NJZ],7,5
225,Numerická matematika [01NUM1],37,25
226,Numerické metody 1 [818NME1],10,2
227,Numerický software [01NUSO],13,10
228,Obecná farmakologie [15OFKL],5,4
229,Obecná chemie [15OCH],30,18
230,Obecná chemie 1 [15CH1],119,112
231,Objektově orientované programování [18OOP],22,17
232,Odborná praxe [11PRAK],1,0
233,Ochrana životního prostředí [15ZOCH],3,3
234,Operační systémy [12OSY],3,0
235,Operátorský kurz na reaktoru VR-1 [17OPK],13,13
236,Optické komunikace [12OPK],3,1
237,Optické metody monitorování atmosféry a dálkového průzkumu [D12OMMA],1,0
238,Optické vlastnosti pevných látek [11OPT],3,1
239,Optické vlastnosti polovodičů [12OVP],6,4
240,Optické zpracování signálů [12OZS],14,13
241,Organická chemie 2 [15ORC2],11,6
242,Otevřené rezonátory [12ORE],4,3
243,"Patologie, anatomie a fyziologie v zobrazovacích metodách 2 [16PAFZ2]",5,5
244,Pinče [02PINC],3,3
245,Plasticita 2 [14PLAS2],9,9
246,Počítače a přirozený jazyk 1 [01POPJ1],5,1
247,Počítačová algebra [12POAL],5,2
248,Počítačová grafika 1 [01POGR1],37,10
249,Počítačové řízení experimentů [17PRE],7,3
250,Počítačové simulace kondenzovaných látek [11SIKL],4,2
251,Počítačové simulace ve fyzice mnoha částic 1 [12SFMC1],2,0
252,Počítačové sítě 1 [01SITE1],14,7
253,Pokročilé laserové spektroskopie [12PLS],9,8
254,Pokročilé partie numerické lineární algebry [01PNLA],16,12
255,Práce s odborným textem 1 [04ABO1],13,8
256,Praktická informatika pro inženýry 2 [12PIN2],30,9
257,Praktika fyziky plazmatu 1 [02PRPL1],11,0
258,Praktikum metod konečných prvků [14PMKP],11,3
259,Praktikum z analytické chemie [15ALPN],8,8
260,Praktikum z detekce a dozimetrie ionizujícího záření [16PDZ],14,11
261,Praktikum z detekce a dozimetrie ionizujícího záření pro bakaláře [16PDZB],7,3
262,Praktikum ze separačních metod [15SEPM],8,5
263,Praktikum z fyzikální chemie [15PFCH],18,14
264,Praktikum z jaderné chemie [15PJCH],9,5
265,Praktikum z makromolekulární krystalografie 1 [11PMK1],1,0
266,Praktikum z organické chemie [15POCH],7,6
267,Praktikum z radiochemické techniky [15RATEC],15,11
268,Pravděpodobnost a aplikovaná statistika [18AST],12,8
269,Pravděpodobnost a matematická statistika 1 [01PRA1],18,13
270,Pravděpodobnost a statistika [01PRST],48,23
271,Pravděpodobnost a statistika [18PST],11,8
272,Pravděpodobnost a statistika B [01PRSTB],2,1
273,Pravděpodobnostní modely učení [01PMU],7,0
274,Pravděpodobnostní modely umělé inteligence [01UMIN],10,6
