,name,enrolled,passed
0,Algebra [01ALGE],15,10
1,Algebraické struktury v teoretické informatice [01ALTI],6,6
2,Analytická chemie 2 [15ANAL2],17,7
3,Analytické metody využívající ionizující záření [D16AMIZ],1,1
4,Analýza experimentálních dat 1 [14AED1],4,3
5,Anglický jazyk 1 [818A1],10,8
6,Anglický jazyk 3 [818A3],5,5
7,Angličtina M1 [04AM1],56,37
8,Angličtina M3 [04AM3],43,39
9,Angličtina P1 [04AP1],78,73
10,Angličtina P3 [04AP3],55,53
11,Anorganická chemie 1 [15ANCH1],28,14
12,Aperiodické struktury 1 [01APST1],4,4
13,Aplikace ionizujícího záření v medicíně [16AIZM],4,2
14,Aplikace laserů [12APL],9,5
15,Aplikace neutronové difrakce [11AND],3,2
16,Aplikace radionuklidů 1 [15NUK1],7,5
17,Aplikace SQL [18SQL],30,18
18,Aplikace teorie grup ve FPL [11APLG],1,0
19,Aplikovaná ekonometrie a teorie časových řad [18AEK],23,19
20,Aplikovaná lomová mechanika [D14ALM],2,0
21,Asistivní technologie [01ASTE],6,5
22,Atomová a molekulová fyzika [02AMF],2,2
23,Atomová a molekulová spektroskopie [02AMS],1,0
24,Atomová fyzika [12AF],4,2
25,AutoCAD [02ACD],3,0
26,Bakalářská práce 1 [818BPSE1],7,0
27,Bakalářská práce 2 [818BPSE2],2,1
28,Bayesovské principy ve statistice [01BAPS],17,10
29,Bezpečnost a zabezpečení jaderných zařízení a jaderných materiálů pro zahraniční studenty [17ZBZJZ],0,13
30,Bezpečnostní sytémy jaderných reaktorů [17BES],1,0
31,Biochemie a farmakologie [16BAF],11,9
32,Business Intelligence [18BI],11,0
33,Čeština pro cizince mírně pokročilí 1 [04CESM1],36,15
34,Čeština pro cizince mírně pokročilí 3 [04CESM3],18,15
35,Čeština pro cizince pokročilí 1 [04CESP1],1,0
36,Číslicové bezpečnostní systémy [17CIBS],3,1
37,Chemické aspekty pevných látek [11CHA],5,4
38,Chemie prostředí a radioekologie [15RAEK],6,5
39,Chemie provozu JE [15CHJE],4,3
40,Chemie radioaktivních prvků [15CHRP],14,12
41,Coxeterovy grupy [02COX],3,2
42,Databáze [818DB],6,2
43,Dějiny alchymie a chemie [15DALCH],2,0
44,Dějiny fyziky 1 [02DEF1],293,231
45,Detekce záření [17DEZ],6,2
46,Diferenciální rovnice a chaos [01DRCH],2,2
47,Diferenciální rovnice na počítači [12DRP],10,4
48,"Diferenciální rovnice, symetrie a grupy [02DRG]",3,2
49,Difrakční analýza mechanických napětí [11DAN],1,1
50,Diskretní matematika 1 [01DIM1],79,42
51,Diskrétní matematika 1 [818DIM1],10,7
52,Diskrétní matematika 3 [01DIM3],19,16
53,Dozimetrie a radiační ochrana [16DRH],14,12
54,Dozimetrie neutronů [16DNEU],4,1
55,Dráhový integrál [02DRI],9,1
56,Dynamické rozhodování 2 [01DRO2],4,0
57,Dynamika kontinua [14DYKO],4,4
58,Ekonomické hodnocení JE [17EHJE],11,7
59,Elastomechanika 2 [14EME2],4,1
60,Elektrická zařízení jaderných elektráren [17ELZ],6,5
61,Elektrodynamika 1 [12ELDY1],10,8
62,Elektronika 3 [12EL3],4,2
63,Elektronika pro lasery [12ELA],1,1
64,Elementary Introduction to Graph Theory [01EIGR],7,5
65,Etika ve zdravotnictví [16EZ],4,3
66,Evropský standard počítačové gramotnosti 1 [18ESPG1],25,12
67,Exaktní metody při studiu památek [16EPAM],4,2
68,Exkurze na optické pracoviště [12EOP],1,1
69,Experimentální fyzika 2 [02EXF2],46,25
70,Experimentální metody 1 [14EXM1],3,3
71,Experimentální metody jaderné fyziky [02EMJF],12,8
72,Experimentální testy standardního modelu [02ETSM],6,0
73,Finanční a pojistná matematika [01FIMA],14,5
74,Francouzština M1 [04FM1],15,13
