,name,enrolled,passed
0,Administrace systému UNIX [12AUX],1,1
1,Alternativní energetické zdroje [17AEZ],10,8
2,Analytická chemie 1 [15ANAL1],18,11
3,Analytické měřicí metody [16AMM],4,3
4,Analýza a zpracování diagnostických signálů [01ZASIG],4,1
5,Analýza experimentálních dat 2 [14AED2],4,4
6,Anglický jazyk 2 [818A2],10,9
7,Anglický jazyk začátečníci [818A0],3,0
8,Angličtina M2 [04AM2],46,31
9,Angličtina P2 [04AP2],75,64
10,Angličtina - státní zkouška [04ABZK],5,3
11,Anorganická chemie 2 [15ANCH2],20,11
12,Anorganické praktikum [15ANP],16,11
13,Aperiodické struktury 2 [01APST2],4,3
14,Aplikace ionizujícího záření v analytických metodách [16APLB],4,0
15,Aplikace ionizujícího záření ve vědě a technice [16APLV],5,3
16,Aplikace jazykového systému [04ABA],5,5
17,Aplikace MATLABu [18AMTL],13,6
18,Aplikace radiačních metod [15APRM],6,5
19,Aplikace radionuklidů 2 [15NUK2],5,4
20,Aplikace statistických metod [01ASM],13,6
21,Aplikace teorie grup ve FPL [11APLG],2,1
22,Aplikovaná kvantová chromodynamika při vysokých energiích [02AQCD],2,0
23,Aplikovaná lomová mechanika [D14ALM],2,1
24,Astrochemie [15ASCH],3,3
25,Astrofyzika [12ASF],10,8
26,Asymptotické metody [01ASY],13,8
27,Atomová legislativa [17ALE],8,5
28,Bakalářská práce 1 [818BPSE1],1,1
29,Bakalářská práce 2 [818BPSE2],7,2
30,Bezpečnostní sytémy jaderných reaktorů [17BES],7,4
31,Čeština pro cizince mírně pokročilí 2 [04CESM2],14,11
32,Chemie [15CHB],8,5
33,Chemie léčiv [15CHL1],2,1
34,Cvičení na simulátoru [17CSI],5,3
35,"Datové sklady, zpracování velkých objemů dat [18DWH]",10,6
36,Dějiny fyziky 1 [818DEF1],5,1
37,Dějiny fyziky 2 [02DEF2],159,142
38,Dekompozice databazových systémů [18DATS],35,27
39,Detekce ionizujícího záření [15DIZ],13,10
40,Detektory a principy detekce [02DPD],15,9
41,Detektory ionizujícího záření [16DETE],24,11
42,Deterministické metody v reaktorové fyzice [17DERF],4,3
43,Diagnostika plazmatu [02DPLA],2,1
44,Diferenciální počet na varietách [01DPV],4,4
45,Diferenciální rovnice [01DIFR],26,22
46,Diskretní matematika 2 [01DIM2],48,30
47,Diskrétní matematika 2 [818DIM2],10,8
48,Dozimetrie a radioaktivita životního prostř. [16DRZP],5,5
49,Dozimetrie vnitřních zářičů [16DZAR],1,1
50,Dynamické rozhodování 1 [01DRO1],19,14
51,Dynamika lineárních soustav [14DYLS],1,1
52,Dynamika reaktorů [17DYR],5,5
53,Ekonometrie [18EKONS],16,15
54,Ekonometrie [818EKON],8,4
55,Ekonomie pro techniky [00EKOT],43,35
